# these files were generated automatically, all changes will be lost
# David Faure, Script Kiddy, Aaron J. Seigo, Laurent Montel, Dirk Mueller, Stephan Kulow, Marco Martin
date commits1 commits2 commits3 commits4 commits5 commits6 commits7
2009-07-01 70 195 121 89 32 0 136
2009-08-01 95 191 140 105 18 0 133
2009-09-01 135 210 200 89 9 0 232
2009-10-01 122 203 237 66 36 0 294
2009-11-01 113 207 210 48 19 0 194
2009-12-01 50 183 44 60 19 0 162
2010-01-01 85 238 266 38 43 0 172
2010-02-01 74 164 152 62 27 0 137
2010-03-01 68 214 177 29 17 0 169
2010-04-01 53 222 163 22 11 0 224
2010-05-01 61 177 279 40 18 0 228
2010-06-01 8 189 124 95 25 0 153
2010-07-01 76 224 91 85 37 0 91
2010-08-01 35 167 132 108 17 0 152
2010-09-01 61 174 197 80 10 0 38
2010-10-01 146 148 57 24 13 0 143
2010-11-01 104 145 73 22 29 0 42
2010-12-01 53 157 99 6 28 0 101
2011-01-01 26 182 142 27 25 0 146
2011-02-01 53 162 0 0 8 0 74
2011-03-01 12 93 0 0 3 0 49
2011-04-01 22 81 0 0 18 0 48
2011-05-01 2 122 0 0 15 0 19
2011-06-01 61 88 0 0 21 0 44
2011-07-01 3 173 0 0 15 0 44
2011-08-01 93 104 0 0 2 0 18
2011-09-01 39 104 0 0 9 0 50
2011-10-01 35 108 0 0 8 1 67
2011-11-01 57 90 0 0 5 0 174
2011-12-01 82 128 0 0 18 0 131
